Asset,Live Date,Live Time,End Time,KOL name,Studio,Tech 1,Tech 2,Tech 3,Leave = ไม่แยู่,Note
Mid-Month,Fri-15-May,18:00,20:00,Michelle,Studio 1,Dee,Geng,,,
Mid-Month,Fri-15-May,18:00,20:00,Seya Thongchua,Studio 5,PK,PK,,,
Mid-Month,Fri-15-May,20:00,22:00,Gavind,Studio 5,PK,PK,,,
Mid-Month,Fri-15-May,20:00,23:00,Thank After Yum,Studio 1,Dee,Geng,Jay,,
SBD HP#1,Sat-16-May,12:00,14:00,Air Phantila,Studio 2,Dee,,,,
SBD HP#2,Sun-17-May,12:00,14:00,Preawah,Studio 2,Jay,,,,
SBD HP#2,Mon-18-May,12:00,14:00,Plustor,Studio 2,K,,,,
MC x Celeb,Tue-19-May,10:00,12:00,Michelle,Studio 1,Dee,Geng,,,
MC x Celeb,Tue-19-May,12:00,14:00,Namtan Chalita,Studio 1,Dee,Geng,,,
SBD HP#2,Tue-19-May,12:00,14:00,Preawah,Studio 2,Oat,,,,
MC x Celeb,Tue-19-May,17:00,19:00,Air Phantila,Studio 1,Dee,Geng,,,
MC x Celeb,Tue-19-May,20:00,22:00,Ohn sri1000,Studio 1,Oat,Jay,,,
MC x Celeb,Wed-20-May,10:00,12:00,DJ Dada,Studio 1,Dee,Geng,,,
MC x Celeb,Wed-20-May,12:00,14:00,Plustor,Studio 1,Dee,Geng,,,
SBD HP#1,Wed-20-May,12:00,14:00,Cheer Thikamporn,Studio 2,K,,,,
MC x Celeb,Wed-20-May,17:00,19:00,Tack Pharunyoo,Studio 1,Dee,Geng,,,
MC x Celeb,Wed-20-May,20:00,22:00,Chin Chinawut,Studio 1,Dee,Jay,,,
MC x Celeb,Thu-21-May,10:00,12:00,Milla Marisa,Studio 1,Oat,K,,,
MC x Celeb,Thu-21-May,12:00,14:00,Tubtim Anyarin,Studio 1,Oat,K,,,
SBD HP#2,Thu-21-May,12:00,14:00,Plustor,Studio 2,Dee,,,,
MC x Celeb,Thu-21-May,17:00,19:00,Ball Kummun,Studio 1,Dee,Geng,,,
MC x Celeb,Thu-21-May,20:00,22:00,Bifern Passakorn,Studio 1,Dee,Geng,,,
SBD HP#2,Fri-22-May,12:00,14:00,Air Phantila,Studio 2,K,,,,
SBD HP#2,Sat-23-May,12:00,14:00,Cheer Thikamporn,Studio 2,Jay,,,,
SBD HP#2,Sun-24-May,12:00,14:00,Cheer Thikamporn,Studio 2,Dee,,,,
Payday,Mon-25-May,10:00,12:00,Pearwah,Studio 1,Oat,K,,,
Payday,Mon-25-May,10:00,12:00,Air Phantila,Studio 5,Dee,Geng,,,
Payday,Mon-25-May,12:00,14:00,Ning Panita,Studio 5,Dee,Geng,,,
Payday,Mon-25-May,12:00,14:00,Cheer,Studio 1,Oat,K,,,
Payday,Mon-25-May,18:00,20:00,Aerin,Studio 1,Dee,Geng,Jay,,
Payday,Mon-25-May,18:00,20:00,Kwan Usamanee,Studio 5,PK,PK,,,
Payday,Mon-25-May,20:00,22:00,Dutdew,Studio 1,Dee,Geng,Jay,,
Payday,Mon-25-May,20:00,22:00,Pancake Khemanit,Studio 5,PK,PK,,,
MC x Celeb,Tue-26-May,10:00,12:00,Fon Nalinthip,Studio 1,Oat,K,,,
MC x Celeb,Tue-26-May,12:00,14:00,Nan Lardapha,Studio 1,Oat,K,,,
SBD HP#2,Tue-26-May,12:00,14:00,Plustor,Studio 2,Dee,,,,
MC x Celeb,Tue-26-May,17:00,19:00,Plustor,Studio 1,Oat,K,,,
MC x Celeb,Tue-26-May,20:00,22:00,Typhoon,Studio 1,Geng,Jay,,,
MC x Celeb,Wed-27-May,10:00,12:00,Orio,Studio 1,Dee,Geng,,,
MC x Celeb,Wed-27-May,12:00,14:00,Nue,Studio 1,Dee,Geng,,,
SBD HP#2,Wed-27-May,12:00,14:00,Cheer Thikamporn,Studio 2,K,,,,
MC x Celeb,Wed-27-May,17:00,19:00,Giftza Piya,Studio 1,Dee,Geng,,,
MC x Celeb,Wed-27-May,20:00,22:00,Dutdew,Studio 1,Oat,K,Jay,,
MC x Celeb,Thu-28-May,10:00,12:00,Joy Rinlanee,Studio 1,Dee,Geng,,,
MC x Celeb,Thu-28-May,12:00,14:00,Ice Papitchaya,Studio 1,Dee,Geng,,,
SBD HP#1,Thu-28-May,12:00,14:00,Air Phantila,Studio 2,Oat,,,,
MC x Celeb,Thu-28-May,17:00,19:00,CherreenHvk,Studio 1,Dee,Geng,,,
MC x Celeb,Thu-28-May,20:00,22:00,Pae Mild,Studio 1,Oat,K,,,
SBD HP#2 (Upsize),Fri-29-May,14:00,16:00,Dutdew,Studio 2,Dee,,,,
SBD HP#1,Sat-30-May,12:00,14:00,Dutdew,Studio 2,Jay,,,,
SBD HP#1,Sun-31-May,12:00,14:00,Preawah,Studio 2,Dee,,,,
